"id","visitors"
"air_00a91d42b08b08d9_2017-04-23",27.0793151855469
"air_00a91d42b08b08d9_2017-04-24",19.946626663208
"air_00a91d42b08b08d9_2017-04-25",20.7484321594238
"air_00a91d42b08b08d9_2017-04-26",22.2394180297852
"air_00a91d42b08b08d9_2017-04-27",21.7500095367432
"air_00a91d42b08b08d9_2017-04-28",26.0757255554199
"air_00a91d42b08b08d9_2017-04-29",37.0798034667969
"air_00a91d42b08b08d9_2017-04-30",29.7175197601318
"air_00a91d42b08b08d9_2017-05-01",21.6366100311279
"air_00a91d42b08b08d9_2017-05-02",22.4384117126465
"air_00a91d42b08b08d9_2017-05-03",29.092004776001
"air_00a91d42b08b08d9_2017-05-04",28.6025981903076
"air_00a91d42b08b08d9_2017-05-05",32.9283103942871
"air_00a91d42b08b08d9_2017-05-06",30.9695072174072
"air_00a91d42b08b08d9_2017-05-07",26.1321487426758
"air_00a91d42b08b08d9_2017-05-08",18.9994621276855
"air_00a91d42b08b08d9_2017-05-09",19.8012657165527
"air_00a91d42b08b08d9_2017-05-10",21.2922515869141
"air_00a91d42b08b08d9_2017-05-11",20.8028450012207
"air_00a91d42b08b08d9_2017-05-12",25.1285591125488
"air_00a91d42b08b08d9_2017-05-13",28.9587936401367
"air_00a91d42b08b08d9_2017-05-14",26.7591114044189
"air_00a91d42b08b08d9_2017-05-15",19.6264247894287
"air_00a91d42b08b08d9_2017-05-16",20.4282302856445
"air_00a91d42b08b08d9_2017-05-17",21.9192142486572
"air_00a91d42b08b08d9_2017-05-18",21.4298076629639
"air_00a91d42b08b08d9_2017-05-19",25.755521774292
"air_00a91d42b08b08d9_2017-05-20",28.959321975708
"air_00a91d42b08b08d9_2017-05-21",26.7596416473389
"air_00a91d42b08b08d9_2017-05-22",19.626953125
"air_00a91d42b08b08d9_2017-05-23",20.7505474090576
"air_00a91d42b08b08d9_2017-05-24",22.2415313720703
"air_00a91d42b08b08d9_2017-05-25",21.752124786377
"air_00a91d42b08b08d9_2017-05-26",26.0778408050537
"air_00a91d42b08b08d9_2017-05-27",29.2816390991211
"air_00a91d42b08b08d9_2017-05-28",27.081958770752
"air_00a91d42b08b08d9_2017-05-29",19.9492683410645
"air_00a91d42b08b08d9_2017-05-30",20.7510757446289
"air_00a91d42b08b08d9_2017-05-31",22.2420597076416
"air_0164b9927d20bcc3_2017-04-23",27.0793151855469
"air_0164b9927d20bcc3_2017-04-24",19.946626663208
"air_0164b9927d20bcc3_2017-04-25",20.7484321594238
"air_0164b9927d20bcc3_2017-04-26",22.2394180297852
"air_0164b9927d20bcc3_2017-04-27",21.7500095367432
"air_0164b9927d20bcc3_2017-04-28",26.0757255554199
"air_0164b9927d20bcc3_2017-04-29",37.0798034667969
"air_0164b9927d20bcc3_2017-04-30",29.7175197601318
"air_0164b9927d20bcc3_2017-05-01",21.6366100311279
"air_0164b9927d20bcc3_2017-05-02",22.4384117126465
"air_0164b9927d20bcc3_2017-05-03",29.092004776001
"air_0164b9927d20bcc3_2017-05-04",28.6025981903076
"air_0164b9927d20bcc3_2017-05-05",32.9283103942871
"air_0164b9927d20bcc3_2017-05-06",30.9695072174072
"air_0164b9927d20bcc3_2017-05-07",26.1321487426758
"air_0164b9927d20bcc3_2017-05-08",18.9994621276855
"air_0164b9927d20bcc3_2017-05-09",19.8012657165527
"air_0164b9927d20bcc3_2017-05-10",21.2922515869141
"air_0164b9927d20bcc3_2017-05-11",20.8028450012207
"air_0164b9927d20bcc3_2017-05-12",25.1285591125488
"air_0164b9927d20bcc3_2017-05-13",28.9587936401367
"air_0164b9927d20bcc3_2017-05-14",26.7591114044189
"air_0164b9927d20bcc3_2017-05-15",19.6264247894287
"air_0164b9927d20bcc3_2017-05-16",20.4282302856445
"air_0164b9927d20bcc3_2017-05-17",21.9192142486572
"air_0164b9927d20bcc3_2017-05-18",21.4298076629639
"air_0164b9927d20bcc3_2017-05-19",25.755521774292
"air_0164b9927d20bcc3_2017-05-20",28.959321975708
"air_0164b9927d20bcc3_2017-05-21",26.7596416473389
"air_0164b9927d20bcc3_2017-05-22",19.626953125
"air_0164b9927d20bcc3_2017-05-23",20.7505474090576
"air_0164b9927d20bcc3_2017-05-24",22.2415313720703
"air_0164b9927d20bcc3_2017-05-25",21.752124786377
"air_0164b9927d20bcc3_2017-05-26",26.0778408050537
"air_0164b9927d20bcc3_2017-05-27",29.2816390991211
"air_0164b9927d20bcc3_2017-05-28",27.081958770752
"air_0164b9927d20bcc3_2017-05-29",19.9492683410645
"air_0164b9927d20bcc3_2017-05-30",20.7510757446289
"air_0164b9927d20bcc3_2017-05-31",22.2420597076416
"air_0241aa3964b7f861_2017-04-23",26.3739700317383
"air_0241aa3964b7f861_2017-04-24",19.241283416748
"air_0241aa3964b7f861_2017-04-25",20.0430870056152
"air_0241aa3964b7f861_2017-04-26",21.5340728759766
"air_0241aa3964b7f861_2017-04-27",21.0446643829346
"air_0241aa3964b7f861_2017-04-28",25.3703804016113
"air_0241aa3964b7f861_2017-04-29",36.3744621276855
"air_0241aa3964b7f861_2017-04-30",29.0121746063232
"air_0241aa3964b7f861_2017-05-01",20.931266784668
"air_0241aa3964b7f861_2017-05-02",21.7330684661865
"air_0241aa3964b7f861_2017-05-03",28.3866634368896
"air_0241aa3964b7f861_2017-05-04",27.8972568511963
"air_0241aa3964b7f861_2017-05-05",32.2229690551758
"air_0241aa3964b7f861_2017-05-06",30.2641620635986
"air_0241aa3964b7f861_2017-05-07",25.4268035888672
"air_0241aa3964b7f861_2017-05-08",18.2941188812256
"air_0241aa3964b7f861_2017-05-09",19.0959224700928
"air_0241aa3964b7f861_2017-05-10",20.5869064331055
"air_0241aa3964b7f861_2017-05-11",20.0974998474121
"air_0241aa3964b7f861_2017-05-12",24.4232139587402
"air_0241aa3964b7f861_2017-05-13",28.2534523010254
"air_0241aa3964b7f861_2017-05-14",26.0537700653076
"air_0241aa3964b7f861_2017-05-15",18.9210834503174
"air_0241aa3964b7f861_2017-05-16",19.7228870391846
"air_0241aa3964b7f861_2017-05-17",21.2138729095459
"air_0241aa3964b7f861_2017-05-18",20.7244663238525
